Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
Barcelona - Vall Hebron,Good,2.148,41.4261,11h,Good,50,11h,Good,29,11h,Good,23,15-11-2018 12:00,1542279902
Barcelona - Palau Reial,Good,2.1151,41.3875,11h,Good,40,11h,Good,29,11h,Good,22,15-11-2018 12:00,1542279902
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,11h,Good,18,11h,Good,23,15-11-2018 12:00,1542279902
Barcelona - Observ Fabra,Good,2.1239,41.4183,11h,Good,69,11h,Good,14,11h,Good,13,15-11-2018 12:00,1542279902
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,12h,Good,25,NA,NA,NA,15-11-2018 12:00,1542283502
Barcelona - Eixample,Good,2.1538,41.3853,12h,Good,28,12h,Good,60,12h,Good,29,15-11-2018 12:00,1542283502
Barcelona - Gràcia,Good,2.1534,41.3987,12h,Good,43,12h,Good,40,NA,NA,NA,15-11-2018 12:00,1542283502
Barcelona - Ciutadella,Good,2.1874,41.3864,12h,Good,57,12h,Good,12,NA,NA,NA,15-11-2018 12:00,1542283502
Barcelona - Vall Hebron,Good,2.148,41.4261,12h,Good,57,12h,Good,21,12h,Good,23,15-11-2018 12:00,1542283502
Barcelona - Palau Reial,Good,2.1151,41.3875,12h,Good,43,12h,Good,26,12h,Good,22,15-11-2018 12:00,1542283502
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,12h,Good,13,12h,Good,22,15-11-2018 12:00,1542283502
Barcelona - Observ Fabra,Good,2.1239,41.4183,12h,Good,70,12h,Good,13,12h,Good,12,15-11-2018 12:00,1542283502
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,13h,Good,23,NA,NA,NA,15-11-2018 14:00,1542287102
Barcelona - Eixample,Good,2.1538,41.3853,13h,Good,35,13h,Good,52,13h,Good,29,15-11-2018 14:00,1542287102
Barcelona - Gràcia,Good,2.1534,41.3987,13h,Good,52,13h,Good,32,NA,NA,NA,15-11-2018 14:00,1542287102
Barcelona - Ciutadella,Good,2.1874,41.3864,13h,Good,50,13h,Good,19,NA,NA,NA,15-11-2018 14:00,1542287102
Barcelona - Vall Hebron,Good,2.148,41.4261,13h,Good,57,13h,Good,20,13h,Good,23,15-11-2018 14:00,1542287102
Barcelona - Palau Reial,Good,2.1151,41.3875,13h,Good,48,13h,Good,20,13h,Good,22,15-11-2018 14:00,1542287102
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,13h,Good,10,13h,Good,22,15-11-2018 14:00,1542287102
Barcelona - Observ Fabra,Good,2.1239,41.4183,13h,Good,72,13h,Good,11,13h,Good,12,15-11-2018 14:00,1542287102
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,14h,Good,19,NA,NA,NA,15-11-2018 14:00,1542290701
Barcelona - Eixample,Good,2.1538,41.3853,14h,Good,36,14h,Good,49,14h,Good,29,15-11-2018 14:00,1542290701
Barcelona - Gràcia,Good,2.1534,41.3987,13h,Good,52,13h,Good,32,NA,NA,NA,15-11-2018 14:00,1542290701
Barcelona - Ciutadella,Good,2.1874,41.3864,14h,Good,51,14h,Good,16,NA,NA,NA,15-11-2018 14:00,1542290701
Barcelona - Vall Hebron,Good,2.148,41.4261,14h,Good,62,14h,Good,17,14h,Good,23,15-11-2018 14:00,1542290701
Barcelona - Palau Reial,Good,2.1151,41.3875,14h,Good,51,14h,Good,14,14h,Good,22,15-11-2018 14:00,1542290701
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,13h,Good,10,14h,Good,22,15-11-2018 14:00,1542290701
Barcelona - Observ Fabra,Good,2.1239,41.4183,14h,Good,71,14h,Good,11,14h,Good,12,15-11-2018 14:00,1542290701
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,15h,Good,27,NA,NA,NA,15-11-2018 16:00,1542294301
Barcelona - Eixample,Good,2.1538,41.3853,14h,Good,36,14h,Good,49,15h,Good,29,15-11-2018 16:00,1542294301
Barcelona - Gràcia,Good,2.1534,41.3987,13h,Good,52,13h,Good,32,NA,NA,NA,15-11-2018 16:00,1542294301
Barcelona - Ciutadella,Good,2.1874,41.3864,15h,Good,52,15h,Good,15,NA,NA,NA,15-11-2018 16:00,1542294301
Barcelona - Vall Hebron,Good,2.148,41.4261,15h,Good,49,15h,Good,24,15h,Good,22,15-11-2018 16:00,1542294301
Barcelona - Palau Reial,Good,2.1151,41.3875,15h,Good,45,15h,Good,18,15h,Good,22,15-11-2018 16:00,1542294301
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,15h,Good,14,15h,Good,22,15-11-2018 16:00,1542294301
