Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
Barcelona - Eixample,Good,2.1538,41.3853,14h,Good,36.0,14h,Good,49.0,14h,Good,29.0,15/11/2018 14:00,1542290701
Barcelona - Vall Hebron,Good,2.148,41.4261,14h,Good,62.0,14h,Good,17.0,14h,Good,23.0,15/11/2018 14:00,1542290701
Barcelona - Palau Reial,Good,2.1151,41.3875,14h,Good,51.0,14h,Good,14.0,14h,Good,22.0,15/11/2018 14:00,1542290701
Barcelona - Observ Fabra,Good,2.1239,41.4183,14h,Good,71.0,14h,Good,11.0,14h,Good,12.0,15/11/2018 14:00,1542290701
Barcelona - Eixample,Good,2.1538,41.3853,14h,Good,36.0,14h,Good,49.0,15h,Good,29.0,15/11/2018 16:00,1542294301
Barcelona - Vall Hebron,Good,2.148,41.4261,15h,Good,49.0,15h,Good,24.0,15h,Good,22.0,15/11/2018 16:00,1542294301
Barcelona - Palau Reial,Good,2.1151,41.3875,15h,Good,45.0,15h,Good,18.0,15h,Good,22.0,15/11/2018 16:00,1542294301
Barcelona - Observ Fabra,Good,2.1239,41.4183,15h,Good,64.0,15h,Good,13.0,15h,Good,12.0,15/11/2018 16:00,1542294301
Barcelona - Eixample,Good,2.1538,41.3853,16h,Good,22.0,16h,Good,61.0,16h,Good,29.0,15/11/2018 17:00,1542297902
Barcelona - Vall Hebron,Good,2.148,41.4261,16h,Good,40.0,16h,Good,31.0,16h,Good,22.0,15/11/2018 17:00,1542297902
Barcelona - Palau Reial,Good,2.1151,41.3875,16h,Good,32.0,16h,Good,28.0,16h,Good,22.0,15/11/2018 17:00,1542297902
Barcelona - Observ Fabra,Good,2.1239,41.4183,16h,Good,72.0,16h,Good,9.0,16h,Good,11.0,15/11/2018 17:00,1542297902
Barcelona - Eixample,Good,2.1538,41.3853,17h,Good,8.0,17h,Good,80.0,17h,Good,29.0,15/11/2018 18:00,1542301502
Barcelona - Vall Hebron,Good,2.148,41.4261,17h,Good,30.0,17h,Good,41.0,17h,Good,21.0,15/11/2018 18:00,1542301502
Barcelona - Palau Reial,Good,2.1151,41.3875,17h,Good,30.0,17h,Good,32.0,17h,Good,21.0,15/11/2018 18:00,1542301502
Barcelona - Observ Fabra,Good,2.1239,41.4183,16h,Good,72.0,16h,Good,9.0,17h,Good,10.0,15/11/2018 18:00,1542301502
Barcelona - Eixample,Good,2.1538,41.3853,18h,Good,8.0,18h,Good,85.0,18h,Good,28.0,15/11/2018 18:00,1542305101
Barcelona - Vall Hebron,Good,2.148,41.4261,18h,Good,12.0,18h,Good,60.0,18h,Good,20.0,15/11/2018 18:00,1542305101
Barcelona - Palau Reial,Good,2.1151,41.3875,18h,Good,18.0,18h,Good,53.0,18h,Good,20.0,15/11/2018 18:00,1542305101
Barcelona - Observ Fabra,Good,2.1239,41.4183,16h,Good,72.0,16h,Good,9.0,18h,Good,10.0,15/11/2018 18:00,1542305101
Barcelona - Eixample,Moderate,2.1538,41.3853,19h,Good,1.0,19h,Moderate,101.0,19h,Good,27.0,15/11/2018 20:00,1542308702
Barcelona - Vall Hebron,Good,2.148,41.4261,19h,Good,18.0,19h,Good,56.0,19h,Good,18.0,15/11/2018 20:00,1542308702
Barcelona - Palau Reial,Good,2.1151,41.3875,19h,Good,5.0,19h,Good,67.0,19h,Good,20.0,15/11/2018 20:00,1542308702
Barcelona - Eixample,Moderate,2.1538,41.3853,19h,Good,1.0,19h,Moderate,101.0,20h,Good,27.0,15/11/2018 21:00,1542312301
Barcelona - Vall Hebron,Good,2.148,41.4261,20h,Good,21.0,20h,Good,52.0,20h,Good,18.0,15/11/2018 21:00,1542312301
Barcelona - Palau Reial,Good,2.1151,41.3875,20h,Good,3.0,20h,Good,72.0,20h,Good,19.0,15/11/2018 21:00,1542312301
Barcelona - Eixample,Moderate,2.1538,41.3853,19h,Good,1.0,19h,Moderate,101.0,21h,Good,26.0,15/11/2018 22:00,1542315901
